longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,households_per_capita
-114.31,34.19,15.0,5612.0,1283.0,1015,472,1,66900.0,0.46502463054187193
-114.47,34.4,19.0,7650.0,1901.0,1129,463,2,80100.0,0.41009743135518156
-114.56,33.69,17.0,720.0,174.0,333,117,2,85700.0,0.35135135135135137
-114.57,33.64,14.0,1501.0,337.0,515,226,3,73400.0,0.4388349514563107
-114.57,33.57,20.0,1454.0,326.0,624,262,2,65500.0,0.4198717948717949
-114.58,33.63,29.0,1387.0,236.0,671,239,3,74000.0,0.3561847988077496
-114.58,33.61,25.0,2907.0,680.0,1841,633,3,82400.0,0.3438348723519826
-114.59,34.83,41.0,812.0,168.0,375,158,2,48500.0,0.42133333333333334
-114.59,33.61,34.0,4789.0,1175.0,3134,1056,2,58400.0,0.3369495851946394
-114.6,34.83,46.0,1497.0,309.0,787,271,2,48100.0,0.3443456162642948
-114.6,33.62,16.0,3741.0,801.0,2434,824,3,86500.0,0.33853738701725555
-114.6,33.6,21.0,1988.0,483.0,1182,437,2,62000.0,0.3697123519458545
-114.61,34.84,48.0,1291.0,248.0,580,211,2,48600.0,0.36379310344827587
-114.61,34.83,31.0,2478.0,464.0,1346,479,3,70400.0,0.3558692421991085
-114.63,32.76,15.0,1448.0,378.0,949,300,1,45000.0,0.31612223393045313
-114.65,34.89,17.0,2556.0,587.0,1005,401,2,69100.0,0.3990049751243781
-114.65,33.6,28.0,1678.0,322.0,666,256,3,94900.0,0.3843843843843844
-114.65,32.79,21.0,44.0,33.0,64,27,1,25000.0,0.421875
-114.66,32.74,17.0,1388.0,386.0,775,320,1,44000.0,0.4129032258064516
-114.67,33.92,17.0,97.0,24.0,29,15,1,27500.0,0.5172413793103449
-114.68,33.49,20.0,1491.0,360.0,1135,303,2,44400.0,0.2669603524229075
-114.73,33.43,24.0,796.0,243.0,227,139,1,59200.0,0.6123348017621145
-114.94,34.55,20.0,350.0,95.0,119,58,2,50000.0,0.48739495798319327
-114.98,33.82,15.0,644.0,129.0,137,52,3,71300.0,0.3795620437956204
-115.22,33.54,18.0,1706.0,397.0,3424,283,2,53500.0,0.08265186915887851
-115.32,32.82,34.0,591.0,139.0,327,89,4,100000.0,0.27217125382262997
-115.37,32.82,30.0,1602.0,322.0,1130,335,4,71100.0,0.29646017699115046
-115.37,32.82,14.0,1276.0,270.0,867,261,2,80900.0,0.30103806228373703
-115.37,32.81,32.0,741.0,191.0,623,169,2,68600.0,0.2712680577849117
-115.37,32.81,23.0,1458.0,294.0,866,275,2,74300.0,0.31755196304849886
-115.38,32.82,38.0,1892.0,394.0,1175,374,2,65800.0,0.31829787234042556
-115.38,32.81,35.0,1263.0,262.0,950,241,2,67500.0,0.2536842105263158
-115.39,32.76,16.0,1136.0,196.0,481,185,6,146300.0,0.38461538461538464
-115.4,32.86,19.0,1087.0,171.0,649,173,3,113800.0,0.2665639445300462
-115.4,32.7,19.0,583.0,113.0,531,134,2,95800.0,0.2523540489642185
-115.41,32.99,29.0,1141.0,220.0,684,194,3,107800.0,0.28362573099415206
-115.46,33.19,33.0,1234.0,373.0,777,298,1,40000.0,0.3835263835263835
-115.48,32.8,21.0,1260.0,246.0,805,239,3,88500.0,0.2968944099378882
-115.48,32.68,15.0,3414.0,666.0,2097,622,2,91200.0,0.2966142107773009
-115.49,32.87,19.0,541.0,104.0,457,106,3,102800.0,0.23194748358862144
-115.49,32.69,17.0,1960.0,389.0,1691,356,2,64000.0,0.21052631578947367
-115.49,32.67,29.0,1523.0,440.0,1302,393,1,84700.0,0.30184331797235026
-115.49,32.67,25.0,2322.0,573.0,2185,602,1,70100.0,0.2755148741418764
-115.5,32.75,13.0,330.0,72.0,822,64,3,142500.0,0.07785888077858881
-115.5,32.68,18.0,3631.0,913.0,3565,924,2,88400.0,0.2591865357643759
-115.5,32.67,35.0,2159.0,492.0,1694,475,2,75500.0,0.28040141676505315
-115.51,33.24,32.0,1995.0,523.0,1069,410,2,43300.0,0.38353601496725914
-115.51,33.12,21.0,1024.0,218.0,890,232,2,46700.0,0.2606741573033708
-115.51,32.99,20.0,1402.0,287.0,1104,317,2,63700.0,0.2871376811594203
-115.51,32.68,11.0,2872.0,610.0,2644,581,3,72700.0,0.2197428139183056
-115.52,34.22,30.0,540.0,136.0,122,63,1,42500.0,0.5163934426229508
-115.52,33.13,18.0,1109.0,283.0,1006,253,2,53400.0,0.2514910536779324
-115.52,33.12,38.0,1327.0,262.0,784,231,2,60800.0,0.29464285714285715
-115.52,32.98,32.0,1615.0,382.0,1307,345,1,58600.0,0.26396327467482783
-115.52,32.97,24.0,1617.0,366.0,1416,401,2,66400.0,0.2831920903954802
-115.52,32.97,10.0,1879.0,387.0,1376,337,2,67500.0,0.2449127906976744
-115.52,32.77,18.0,1715.0,337.0,1166,333,2,79200.0,0.2855917667238422
-115.52,32.73,17.0,1190.0,275.0,1113,258,2,63100.0,0.23180592991913745
-115.52,32.67,6.0,2804.0,581.0,2807,594,2,67700.0,0.21161382258639116
-115.53,34.91,12.0,807.0,199.0,246,102,3,40000.0,0.4146341463414634
-115.53,32.99,25.0,2578.0,634.0,2082,565,2,62200.0,0.271373679154659
-115.53,32.97,35.0,1583.0,340.0,933,318,2,70700.0,0.3408360128617363
-115.53,32.97,34.0,2231.0,545.0,1568,510,2,60300.0,0.3252551020408163
-115.53,32.73,14.0,1527.0,325.0,1453,332,2,61200.0,0.22849277357192016
-115.54,32.99,23.0,1459.0,373.0,1148,388,2,69400.0,0.33797909407665505
-115.54,32.99,17.0,1697.0,268.0,911,254,4,96000.0,0.278814489571899
-115.54,32.98,27.0,1513.0,395.0,1121,381,2,60600.0,0.33987511150758254
-115.54,32.97,41.0,2429.0,454.0,1188,430,3,70800.0,0.36195286195286197
-115.54,32.79,23.0,1712.0,403.0,1370,377,1,60400.0,0.2751824817518248
